cell_id	lat	lon	municipality_id	municipality_name	km2	employees	companies	truck_fq_weight	truck_fq_municipality	cell_height_lat	cell_width_lon
4320006418000	57.89861988329	13.852794162882493	0642	Mullsjö	0.05	151.79	3.93	1557.2	11360.099999999999	0.009	0.0176228517036961
4320006419000	57.90760027425335	13.852507956976176	0642	Mullsjö	0.19	576.79	14.93	5917.199999999999	11360.099999999999	0.009	0.01762858382935662
4320006420000	57.91658065153339	13.85222158009333	0642	Mullsjö	0.2	208.33	11.67	2200.0	11360.099999999999	0.009	0.017634315946283178
4330006419000	57.90775154625268	13.869379048451695	0642	Mullsjö	0.04	121.43	3.14	1245.7	11360.099999999999	0.009	0.017628680385298634
4450006393000	57.67588142735993	14.07781948364282	0680	Jönköping	0.06	200.0	8.5	2085.0	247315.3599999999	0.009	0.01748067918314183
4440006402000	57.75658940138523	14.058959937559505	0680	Jönköping	0.69	15.9	2.23	90.64999999999999	247315.3599999999	0.009	0.017532194562684587
4500006395000	57.69442757890972	14.161228437451712	0680	Jönköping	0.11	126.92		1279.2	247315.3599999999	0.009	0.017492517072119754
4500006399000	57.73035358234134	14.160397222455655	0680	Jönköping	0.08	256.55	10.76	2673.1	247315.3599999999	0.009	0.01751544840851601
4500006400000	57.73933504993645	14.160189109725689	0680	Jönköping	0.62	1988.28	83.38	20716.6	247315.3599999999	0.009	0.017521181221383648
4500006401000	57.74831650422949	14.159980873199185	0680	Jönköping	0.65	2084.48	87.41	21718.899999999998	247315.3599999999	0.009	0.01752691402576066
4500006403000	57.76627937291562	14.159564028347338	0680	Jönköping	0.36	876.6800000000001	58.73	9354.1	247315.3599999999	0.009	0.0175383796090468
4500006404000	57.77526078731179	14.159355419817105	0680	Jönköping	0.09	910.87	15.83	1032.0	247315.3599999999	0.009	0.017544112387957892
4510006402000	57.75740823949022	14.176575057101738	0680	Jönköping	0.33	1150.91	54.78	7975.310000000001	247315.3599999999	0.009	0.017532717221768426
4510006404000	57.775371157828424	14.176166302686365	0680	Jönköping	0.1	450.0	7.0	4570.0	247315.3599999999	0.009	0.017544182836747167
4520006393000	57.67668218078872	14.195173712096453	0680	Jönköping	0.0			20.0	247315.3599999999	0.009	0.01748119029889343
4520006395000	57.694645412643574	14.194775433051348	0680	Jönköping	0.03			20.0	247315.3599999999	0.009	0.01749265611398783
4530006404000	57.775585211329265	14.209788431114614	0680	Jönköping	0.11	611.11	29.33	6404.400000000001	247315.3599999999	0.009	0.017544319465716874
4540006404000	57.77568889424785	14.226599671708726	0680	Jönköping	0.26	1444.44	69.33	15137.7	247315.3599999999	0.009	0.017544385645855424
4550006404000	57.77579034790273	14.243411026579393	0680	Jönköping	0.06	226.25	21.45	2477.0	247315.3599999999	0.009	0.017544450403069317
4550006405000	57.784771932062206	14.243223159794505	0680	Jönköping	0.15000000000000002	584.09	43.45	6275.4	247315.3599999999	0.009	0.01755018329033924
4560006404000	57.77588957226275	14.260222493243907	0680	Jönköping	0.01	30.0	3.8	338.0	247315.3599999999	0.009	0.017544513737338677
4560006405000	57.78487119072286	14.260038799934982	0680	Jönköping	0.1	409.65999999999997	29.3	4389.6	247315.3599999999	0.009	0.01755024664650247
4570006400000	57.7400598276045	14.277751080790393	0680	Jönköping	0.07	26.92		279.20000000000005	247315.3599999999	0.009	0.01752164384229694
4570006406000	57.793949858108185	14.276674922817865	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.01755604150136961
4580006396000	57.70422738124715	14.295244771530895	0680	Jönköping	0.09	124.14	3.1	1272.3999999999999	247315.3599999999	0.009	0.017498772222778087
4580006403000	57.7670996350723	14.294020993765798	0680	Jönköping	0.06	300.0		3010.0	247315.3599999999	0.009	0.01753890317709365
4590006396000	57.70431966219959	14.312023257971061	0680	Jönköping	0.24	312.57	7.35	3209.2000000000003	247315.3599999999	0.009	0.017498831125115143
4590006397000	57.71330148410126	14.31185289816912	0680	Jönköping	0.12	85.71	6.86	925.6999999999999	247315.3599999999	0.009	0.017504564164134373
4630006419000	57.91124790249335	14.375578837896471	0680	Jönköping	0.04	0.0		10.0	247315.3599999999	0.009	0.01763091208694807
4640006419000	57.91132971497298	14.39245398357734	0680	Jönköping	0.02	0.0		10.0	247315.3599999999	0.009	0.017630964307326417
4690006421000	57.92966874563389	14.476569754648985	0680	Jönköping	0.02	0.0		10.0	247315.3599999999	0.009	0.01764266999237616
4690006422000	57.9386505191236	14.476439004755937	0680	Jönköping	0.02	0.0		10.0	247315.3599999999	0.009	0.017648403000494348
4510006403000	57.76638970529858	14.176370740705798	0680	Jönköping	0.24	1111.94	29.52	5292.17	247315.3599999999	0.009	0.017538450033495592
4470006393000	57.67612131712647	14.111348623185979	0680	Jönköping	0.15	39.47	3.95	434.20000000000005	247315.3599999999	0.009	0.017480832303233385
4470006397000	57.71204695293932	14.110468603827856	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.017503763404980943
4470006398000	57.72102832847552	14.110248272023945	0680	Jönköping	0.09	50.0	10.0	600.0	247315.3599999999	0.009	0.01750949615908797
4480006414000	57.86484598393822	14.123557414713542	0680	Jönköping	0.08	133.33	6.1	1394.3000000000002	247315.3599999999	0.009	0.017601294041460637
4470006414000	57.86472852058792	14.106705073096627	0680	Jönköping	0.44	850.0	63.0	9130.0	247315.3599999999	0.009	0.017601219065361356
4470006394000	57.68510274613283	14.111128814309472	0680	Jönköping	0.06	36.01	0.79	378.0	247315.3599999999	0.009	0.017486565091470063
4470006411000	57.83778499488026	14.107371997929647	0680	Jönköping	0.05	0.0		10.0	247315.3599999999	0.009	0.017584021186591473
4470006412000	57.84676618345856	14.10714982221558	0680	Jönköping	0.0	0.0		10.0	247315.3599999999	0.009	0.01758975382136448
4470006413000	57.855747358693954	14.10692751397453	0680	Jönköping	0.01	16.67	0.76	174.30000000000004	247315.3599999999	0.009	0.01759548644762079
4480006393000	57.67623793115834	14.128113389881191	0680	Jönköping	0.04	29.34	1.08	304.2	247315.3599999999	0.009	0.01748090673721818
4480006395000	57.69420085630894	14.127681934999325	0680	Jönköping	0.1	86.21	4.48	906.9	247315.3599999999	0.009	0.017492372356545226
4480006401000	57.748089311447444	14.12638448982064	0680	Jönköping	0.07	152.17	11.57	1637.3999999999999	247315.3599999999	0.009	0.017526769010072458
4500006402000	57.75729794522204	14.159772512773863	0680	Jönköping	0.54	1573.8	99.82	16736.199999999997	247315.3599999999	0.009	0.017532646821648054
4500006393000	57.67646449734168	14.16164330482135	0680	Jönköping	0.16	258.9	3.6	2625.0	247315.3599999999	0.009	0.017481051352952463
4460006403000	57.76581576010445	14.092338444750917	0680	Jönköping	0.33	271.85999999999996	17.400000000000002	2892.6	247315.3599999999	0.009	0.017538083687978073
4480006413000	57.85586478139952	14.123775660482828	0680	Jönköping	0.12	200.0	9.14	2091.3999999999996	247315.3599999999	0.009	0.017595561397776797
4460006414000	57.864608820490886	14.089852864226534	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.01760114266156106
4590006395000	57.69533782714508	14.312193516581683	0680	Jönköping	0.0	0.0		10.0	247315.3599999999	0.009	0.017493098077700546
4490006401000	57.74820402123326	14.143182618322507	0680	Jönköping	0.09	247.3	13.33	2606.2999999999997	247315.3599999999	0.009	0.01752684222858928
4490006400000	57.739222605786104	14.143395017823009	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.017521109449007345
4570006401000	57.74904153229088	14.277571987831207	0680	Jönköping	0.06	23.08		240.79999999999998	247315.3599999999	0.009	0.017527376806498407
4540006405000	57.784670443336296	14.226407631540349	0680	Jönköping	0.08	444.44	21.33	4657.7	247315.3599999999	0.009	0.01755011851073973
4480006394000	57.68521940040859	14.127897726494597	0680	Jönköping	0.2	182.5	2.96	1864.6	247315.3599999999	0.009	0.017486639551142283
4460006402000	57.756834492565346	14.09256360025424	0680	Jönköping	0.11	11.96	1.91	138.70000000000002	247315.3599999999	0.009	0.017532351002804893
4520006394000	57.68566380335322	14.194974631704598	0680	Jönköping	0.51			20.0	247315.3599999999	0.009	0.017486923210677033
4520006402000	57.75751630613149	14.193377722952627	0680	Jönköping	0.16	1207.55	1.81	1209.36	247315.3599999999	0.009	0.017532786200008907
4530006405000	57.78456672457622	14.209592217657274	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.01755005230772379
4560006406000	57.793852795996436	14.259854997224583	0680	Jönköping	0.14	350.0	46.0	3960.0	247315.3599999999	0.009	0.017555979547249384
4670006430000	58.01036023787462	14.441546178521042	0680	Jönköping	0.09	200.0	9.0	2090.0	247315.3599999999	0.009	0.017694174851702077
4460006393000	57.67600248251494	14.094583986953396	0680	Jönköping	0.02	50.0	2.0	520.0	247315.3599999999	0.009	0.017480756451866898
4530006403000	57.766603684841954	14.20998452781278	0680	Jönköping	0.09	405.0	11.7	4167.0	247315.3599999999	0.009	0.017538586615258724
4450006402000	57.756713060682415	14.075761700711722	0680	Jönköping	0.08	6.9799999999999995	1.1	78.19999999999999	247315.3599999999	0.009	0.017532273493616822
4580006397000	57.71320917128611	14.295070257795448	0680	Jönköping	0.02	27.59	0.69	282.8	247315.3599999999	0.009	0.01750450524145955
4570006405000	57.78496821928784	14.276854549476917	0680	Jönköping	0.16	1500.0	4.0	15040.0	247315.3599999999	0.009	0.01755030857921001
4520006403000	57.76649780928506	14.19317757468772	0680	Jönköping	0.23	1705.38	3.79	2125.87	247315.3599999999	0.009	0.01753851903557328
4470006395000	57.69408416176946	14.110908874862758	0680	Jönköping	0.08	150.0	6.0	1560.0	247315.3599999999	0.009	0.01749229787117294
4510006401000	57.748426760401756	14.176779251974654	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.01752698440156466
4500006392000	57.66748293658922	14.161850553829758	0680	Jönköping	0.57	950.0	12.67	9626.699999999999	247315.3599999999	0.009	0.01747531848062309
4450006404000	57.77467549843837	14.075302918206853	0680	Jönköping	0.02	16.92	1.08	180.0	247315.3599999999	0.009	0.01754373880184301
4450006403000	57.7656942862592	14.07553237771082	0680	Jönköping	0.79	297.35	22.21	3169.3	247315.3599999999	0.009	0.01753800615200572
4450006401000	57.74773182170659	14.0759908873223	0680	Jönköping	0.09	2.07	0.29	11.799999999999999	247315.3599999999	0.009	0.0175265408266754
4450006392000	57.666900067727326	14.078047447793141	0680	Jönköping	0.13	200.0	11.5	2115.0	247315.3599999999	0.009	0.017474946439185964
4440006403000	57.765570584230296	14.058726447173758	0680	Jönköping	0.25	5.76	0.81	32.85	247315.3599999999	0.009	0.017537927193798104
4440006401000	57.74760820512	14.05919328907747	0680	Jönköping	0.81	18.66	2.61	106.35	247315.3599999999	0.009	0.017526461923005065
4430006402000	57.756463514711655	14.042158313275042	0680	Jönköping	0.02	0.46	0.06	2.6	247315.3599999999	0.009	0.01753211421003236
4430006401000	57.74748236192602	14.042395829585736	0680	Jönköping	0.06	1.38	0.19	7.85	247315.3599999999	0.009	0.017526381598105583
4350006406000	57.79129921334458	13.906665681450566	0680	Jönköping	0.03	0.0		10.0	247315.3599999999	0.009	0.017554349611904174
4340006406000	57.791153080250965	13.889848738982986	0680	Jönköping	0.04	0.0		10.0	247315.3599999999	0.009	0.017554256336092554
4500006391000	57.6585013625224	14.162057679855751	0680	Jönköping	0.05	83.33	1.11	844.4	247315.3599999999	0.009	0.01746958559979525
4490006404000	57.77514818766245	14.142544661154158	0680	Jönköping	0.0	0.0	0.0	0.0	247315.3599999999	0.009	0.017544040516327585
4490006403000	57.76616681216994	14.142757440092575	0680	Jönköping	0.13	141.3	10.74	1520.4	247315.3599999999	0.009	0.017538307762248444
4490006402000	57.75718542336072	14.142970092447172	0680	Jönköping	0.25	685.62	46.26	7318.8	247315.3599999999	0.009	0.017532574999669332
4490006395000	57.69431532870068	14.144455123350202	0680	Jönköping	0.23	198.28	10.31	2085.9	247315.3599999999	0.009	0.01749244542353494
4490006394000	57.68533383330304	14.144666766788376	0680	Jönköping	0.45	395.29999999999995	15.64	4109.4	247315.3599999999	0.009	0.017486712592921127
4490006393000	57.676352324575035	14.144878284579521	0680	Jönköping	0.63	723.97	16.18	7401.5	247315.3599999999	0.009	0.01748097975379863
4490006392000	57.66737080251513	14.145089676827148	0680	Jönköping	0.19	316.67	4.22	3208.9000000000005	247315.3599999999	0.009	0.017475246906166465
4480006402000	57.75707067394063	14.12616779859973	0680	Jönköping	0.07	152.17	11.57	1637.3999999999999	247315.3599999999	0.009	0.017532501755854215
4260006387000	57.61927679602939	13.761159644680877	0680	Jönköping	0.11	50.0		510.0	247315.3599999999	0.009	0.017444548811860836
4440006400000	57.738626995433144	14.059426501842319	0680	Jönköping	0.03	0.69	0.1	3.9499999999999997	247315.3599999999	0.009	0.017520729274758604
4500006394000	57.68544604478133	14.161435932729164	0680	Jönköping	0.22999999999999998	273.08	18.0	2920.8	247315.3599999999	0.009	0.017486784216784356
4670006292000	56.770773229942485	14.460083138627688	0764	Alvesta	0.03	16.07		170.7	27280.0	0.009	0.016902954455438903
4660006294000	56.78866811058496	14.443456987230798	0764	Alvesta	0.19	101.43	0.0	1034.3	27280.0	0.009	0.016914376642395056
4730006318000	57.00472741595966	14.5554818411308	0764	Alvesta	0.0	0.0		10.0	27280.0	0.009	0.01705228590420645
4740006321000	57.031734421813546	14.57163519255135	0764	Alvesta	0.05	0.0		10.0	27280.0	0.009	0.017069524301944455
4730006308000	56.91489464864907	14.556549998036298	0764	Alvesta	0.0	0.0	0.0	0.0	27280.0	0.009	0.01699494622793195
4740006318000	57.00478478856328	14.571944944649633	0764	Alvesta	0.17	94.44		954.4	27280.0	0.009	0.017052322524769493
4740006317000	56.995801551279605	14.572048074837062	0764	Alvesta	0.01	5.56		65.6	27280.0	0.009	0.017046588582321054
4730006317000	56.99574419825529	14.555588937418472	0764	Alvesta	0.05	50.0		510.0	27280.0	0.009	0.017046551974255357
4730006307000	56.90591129974266	14.556656471694183	0764	Alvesta	0.25	172.41	18.97	1913.8	27280.0	0.009	0.016989212214235445
4720006308000	56.914835313941545	14.540126513653668	0764	Alvesta	0.17	100.0	4.0	1040.0	27280.0	0.009	0.016994908354970636
4720006307000	56.90585198525581	14.540236930306206	0764	Alvesta	0.04	27.59	3.03	306.2	27280.0	0.009	0.01698917435418085
4720006306000	56.89686864343072	14.540347282675649	0764	Alvesta	0.03	45.79	2.24	480.3	27280.0	0.009	0.016983440345004302
4720006305000	56.88788528846455	14.540457570813661	0764	Alvesta	0.43	656.32	32.14	6884.6	27280.0	0.009	0.016977706327439886
4710006306000	56.89680719316812	14.523931746218421	0764	Alvesta	0.3	457.89	22.42	4803.1	27280.0	0.009	0.01698340112169782
4710006305000	56.88782385913773	14.524045972710672	0764	Alvesta	0.12	183.16	8.97	1921.3	27280.0	0.009	0.016977667117496577
4700006306000	56.89674358693691	14.507516276286042	0764	Alvesta	0.07	106.84	5.23	1120.7	27280.0	0.009	0.016983360522250468
4670006294000	56.788740045977846	14.459825062128361	0764	Alvesta	0.0	0.0		10.0	27280.0	0.009	0.01691442255829261
4670006291000	56.76178980209866	14.460212064568688	0764	Alvesta	0.25	133.93		1349.3000000000002	27280.0	0.009	0.01689722039135715
4650006295000	56.79757736661942	14.426952013029597	0764	Alvesta	0.0	0.0		10.0	27280.0	0.009	0.016920063363089037
4650006294000	56.78859402811275	14.42708898957682	0764	Alvesta	0.2	128.57	12.0	1415.7	27280.0	0.009	0.01691432935603061
4730006306000	56.89692793770657	14.556762883364295	0764	Alvesta	0.1	100.0	5.0	1050.0	27280.0	0.009	0.01698347819215834
