year	segment_id	latitude	longitude	is_in_sweden	placement	kW_installed	kW_used	kW_unused	kWPerRoadKm_installed	kWPerRoadKm_used	kWPerRoadKm_unused	kWh_per_year	euro_per_kWh	soc_on_arrival	lane_km
2025-01-01	3602910	58.200323	16.012307	True	Depot	1100.7831	1100.7831	0	0	0	0	4278702.5	0.048696067	0.5	0
2025-01-01	3179856	57.124519	14.143173	True	Depot	39.765053	39.765053	0	0	0	0	3990.7393	0.1252227	0.50000006	0
2025-01-01	2945779	55.594737	13.100766	True	RestStop	545.70215	545.70215	0	0	0	0	46798.977	0.27943242	0.13835524	0
2025-01-01	2918906	58.130672	12.96718	True	Depot	57.443436	57.443436	0	0	0	0	42797.38	0.11633674	0.5	0
2025-01-01	3432145	62.913328	15.240433	True	Depot	5367.114	5367.114	0	0	0	0	20861772	0.048281513	0.5	0
2025-01-01	3521906	58.139643	15.678973	True	Destination	364.29355	364.29355	0	0	0	0	72286.37	0.18893655	0.73093605	0
2025-01-01	3566837	56.751432	15.86977	True	Depot	221.69246	221.69246	0	0	0	0	861710.56	0.050764076	0.5	0
2025-01-01	2891793	55.872065	12.854704	True	RestStop	3536.2551	3536.2551	0	0	0	0	13367415	0.054924432	0.22156261	0
2025-01-01	2999771	55.43232	13.323277	True	Destination	352.73697	352.73697	0	0	0	0	1062.6814	0.18905438	0.5377784	0
2025-01-01	3377975	59.507545	15.021599	True	Depot	308.69974	308.69974	0	0	0	0	1199904.6	0.05003421	0.5	0
2025-01-01	2846984	59.683303	12.64912	True	Depot	38.70162	38.70162	0	0	0	0	91664.25	0.09386737	0.5	0
2025-01-01	2684893	57.864371	11.928045	True	RestStop	435.8277	435.8277	0	0	0	0	524750	0.14363445	0.24506712	0
2025-01-01	4611218	64.363438	20.501309	True	Destination	127.78496	127.78496	0	0	0	0	24801.658	0.19559288	0.7251027	0
2025-01-01	3900116	62.338087	17.353512	True	Depot	2835.558	2835.558	0	0	0	0	11021710	0.048377	0.5	0
2025-01-01	2774916	58.320532	12.331524	True	Destination	542.5601	542.5601	0	0	0	0	132271.1	0.18775488	0.66835487	0
2025-01-01	4773234	64.687737	21.216984	True	Depot	77.04298	77.04298	0	0	0	0	4496.734	0.11125193	0.5	0
2025-01-01	2945780	55.614752	13.0868	True	Destination	639.48444	639.48444	0	0	0	0	1503349.4	0.09369448	0.36445153	0
2025-01-01	2954992	59.844825	13.135321	True	Depot	542.401	542.401	0	0	0	0	2108292.5	0.049232956	0.5	0
2025-01-01	3378003	60.07867	15.012752	True	Depot	1206.3566	1206.3566	0	0	0	0	4689064.5	0.048650417	0.5	0
2025-01-01	3332937	58.756015	14.809109	True	Depot	568.4961	568.4961	0	0	0	0	2209723	0.04918437	0.5	0
2025-01-01	3926947	58.955972	17.47683	True	Destination	145.90723	145.90723	0	0	0	0	48224.605	0.19431946	0.3143935	0
